Time,Open,High,Low,Last,Change,%Chg,Volume,Difference
11-Jun-20,10094.1,10112.05,9885.05,9902,-214.15,-2.12%,0,-0.218444438
12-Jun-20,9544.95,9996.05,9544.35,9972.9,70.9,0.72%,0,-3.740721533
15-Jun-20,9919.35,9943.35,9726.35,9813.7,-159.2,-1.60%,0,-0.539853922
16-Jun-20,10014.8,10046.15,9728.5,9914,100.3,1.02%,0,2.008028118
17-Jun-20,9876.7,10003.6,9833.8,9881.15,-32.85,-0.33%,0,-0.377656505
18-Jun-20,9863.25,10111.2,9845.05,10091.65,210.5,2.13%,0,-0.181481763
19-Jun-20,10119,10272.4,10072.65,10244.4,152.75,1.51%,0,0.270283625
22-Jun-20,10318.75,10393.65,10277.6,10311.2,66.8,0.65%,0,0.72053301
23-Jun-20,10347.95,10484.7,10301.75,10471,159.8,1.55%,0,0.355142806
24-Jun-20,10529.25,10553.15,10281.95,10305.3,-165.7,-1.58%,0,0.55322079
25-Jun-20,10235.55,10361.8,10194.5,10288.9,-16.4,-0.16%,0,-0.681448481
26-Jun-20,10378.9,10409.85,10311.25,10383,94.1,0.91%,0,0.867143917
29-Jun-20,10311.95,10337.95,10223.6,10312.4,-70.6,-0.68%,0,-0.689006444
30-Jun-20,10382.6,10401.05,10267.35,10302.1,-10.3,-0.10%,0,0.67613122
01-Jul-20,10323.8,10447.05,10299.6,10430.05,127.95,1.24%,0,0.210193921
02-Jul-20,10493.05,10598.2,10485.55,10551.7,121.65,1.17%,0,0.600397406
03-Jul-20,10614.95,10631.3,10562.65,10607.35,55.65,0.53%,0,0.595857729
06-Jul-20,10723.85,10811.4,10695.1,10763.65,156.3,1.47%,0,1.086363573
07-Jul-20,10802.85,10813.8,10689.7,10799.65,36,0.33%,0,0.362867206
08-Jul-20,10818.65,10847.85,10676.55,10705.75,-93.9,-0.87%,0,0.175622652
09-Jul-20,10755.55,10836.85,10733,10813.45,107.7,1.01%,0,0.463016768
10-Jul-20,10764.1,10819.4,10713,10768.05,-45.4,-0.42%,0,-0.458468427
13-Jul-20,10851.85,10894.05,10756.05,10802.7,34.65,0.32%,0,0.772218562
14-Jul-20,10750.85,10755.65,10562.9,10607.35,-195.35,-1.81%,0,-0.482287447
15-Jul-20,10701,10827.45,10577.75,10618.2,10.85,0.10%,0,0.875151855
16-Jul-20,10706.2,10755.3,10595.2,10739.95,121.75,1.15%,0,0.821953634
17-Jul-20,10752,10933.45,10749.65,10901.7,161.75,1.51%,0,0.112072173
20-Jul-20,10999.45,11037.9,10953,11022.2,120.5,1.11%,0,0.888680798
21-Jul-20,11126.1,11179.55,11113.25,11162.25,140.05,1.27%,0,0.93384025
22-Jul-20,11231.2,11238.1,11056.55,11132.6,-29.65,-0.27%,0,0.613914809
